net_gain,phase,amplitude_lc,frequency_lc
4.2784810126582276,1.7497478070626697,9.070757151889587e-15,0.0
4.2784810126582276,1.8292817982927911,1.0825503705848331e-13,0.0
4.2784810126582276,1.9088157895229125,6.045696779343629e-13,0.0
4.2784810126582276,1.9883497807530337,2.1853778803684906e-14,0.0
4.2784810126582276,2.0678837719831553,7.522104954363533e-14,0.0
4.2784810126582276,2.1474177632132765,3.007888468860034e-13,0.0
4.2784810126582276,2.2269517544433977,5.602158854729865e-15,0.0
4.2784810126582276,2.3064857456735193,1.33785287549564e-13,0.0
4.2784810126582276,2.3860197369036404,1.3435448100530379e-12,0.0
4.2784810126582276,2.465553728133762,3.6917611546617307e-13,0.0
4.2784810126582276,2.5450877193638832,4.295221567450296e-13,0.0
4.2784810126582276,2.6246217105940044,4.739842828531194e-14,0.0
4.2784810126582276,2.704155701824126,7.147051399399357e-14,0.0
4.2784810126582276,2.783689693054247,7.921957109154128e-15,0.0
4.2784810126582276,2.863223684284369,1.586721099533676e-13,0.0
4.2784810126582276,2.94275767551449,1.494153441598819e-12,0.0
4.2784810126582276,3.022291666744611,9.191075257963963e-15,0.0
4.2784810126582276,3.1018256579747328,1.2059139791747577e-13,0.0
4.2784810126582276,3.181359649204854,1.0539270128140147e-13,0.0
4.2784810126582276,3.2608936404349755,1.892631407222245e-14,0.0
